alpha,N,True_N,converged,loglik,conv
0.5,2,2,True,-3.5741935157791125,yes
0.5,3,3,True,1.487019038127174,yes
0.5,4,4,True,3.3243410797322617,yes
0.5,5,5,True,4.440902823719128,yes
0.5,6,6,True,7.187917623730214,yes
0.5,7,7,True,7.21356513501373,yes
0.5,8,8,True,8.186220179815095,yes
0.5,9,9,True,8.56126097877784,yes
0.5,10,10,True,8.639749722352205,yes
0.5,11,11,True,9.5004537591736,yes
0.5,12,11,True,9.500395778776749,yes
0.5,13,12,True,9.414281079837446,yes
0.5,14,13,True,9.516814822171186,yes
0.5,15,13,True,9.4164147524534,yes
0.5,16,13,False,9.516705421861598,no
0.5,17,14,True,9.51988386438148,yes
0.5,18,15,False,9.517134827101435,no
0.5,19,15,True,9.517135252577594,yes
0.5,20,16,True,9.396697820344817,yes
0.5,21,17,True,10.610328388651029,yes
0.5,22,17,True,10.61008326726866,yes
0.5,23,18,True,11.159504067714106,yes
0.5,24,19,False,11.135974487201496,no
0.5,25,18,False,11.132299587571742,no
0.5,26,18,False,11.132299588667916,no
0.5,27,20,False,11.149000211399832,no
0.5,28,21,True,11.00373954522678,yes
0.5,29,21,False,11.003688712915322,no
0.5,30,22,False,11.003449185900099,no
0.5,31,22,True,11.003993753117985,yes
0.5,32,21,True,11.029127472666408,yes
0.5,33,21,False,11.226719271921777,no
0.5,34,21,True,11.22666819048336,yes
0.5,35,22,False,11.231945522987598,no
0.5,36,22,False,11.400049560825265,no
0.5,37,23,False,11.376480614067578,no
0.5,38,23,True,11.380056928408994,yes
0.5,39,24,False,11.347306767209991,no
0.5,40,25,False,11.227064989754862,no
0.5,41,25,False,11.233526098638603,no
0.5,42,25,False,11.235240648053631,no
0.5,43,25,True,11.22860809596092,yes
0.5,44,26,True,11.175455356320454,yes
0.5,45,26,False,10.987968149578817,no
0.5,46,25,False,11.02069015913959,no
0.5,47,25,False,11.02069288061361,no
0.5,48,26,False,11.016457772532267,no
0.5,49,26,False,11.016463725279419,no
0.5,50,24,False,11.013129936115934,no
0.5,51,25,False,11.018700696331928,no
0.5,52,24,True,11.01336300184821,yes
0.5,53,26,False,11.007670791541306,no
0.5,54,28,False,11.201433070288827,no
0.5,55,24,False,11.287889474198987,no
0.5,56,24,False,11.288939263948105,no
0.5,57,25,False,11.265435982962344,no
0.5,58,24,False,11.288867092282814,no
0.5,59,25,True,11.296118972042565,yes
0.5,60,26,False,11.295328475328303,no
0.5,61,27,False,11.367246789211526,no
0.5,62,27,False,11.367188625053428,no
0.5,63,28,False,11.343699913192216,no
0.5,64,26,False,11.342089105202549,no
0.5,65,26,False,11.2681532001564,no
0.5,66,25,False,11.2957817721338,no
0.5,67,28,True,11.270779641158638,yes
0.5,68,27,True,11.294268106026937,yes
0.5,69,27,False,11.373324602742043,no
0.5,70,26,False,11.372693519275513,no
0.5,71,26,False,11.293468156487064,no
0.5,72,26,True,11.293458872463885,yes
0.5,73,26,False,11.29345887110245,no
0.5,74,26,False,11.29349920593973,no
0.5,75,25,False,11.287628405909235,no
0.5,76,25,False,11.28762964583414,no
0.5,77,25,False,11.2876296467523,no
0.5,78,25,False,11.287629647321538,no
0.5,79,25,False,11.291838814277858,no
0.5,80,26,False,11.291965625126656,no
0.5,81,27,False,11.268477555129289,no
0.5,82,27,False,11.26892606529781,no
0.5,83,27,False,11.265527616484205,no
0.5,84,27,True,11.260288342181594,yes
0.5,85,29,False,11.190451706828055,no
0.5,86,28,False,11.268991691394401,no
0.5,87,30,False,11.190481913820975,no
0.5,88,28,False,10.99560192183969,no
0.5,89,28,False,10.995601829826844,no
0.5,90,27,True,11.071549800327881,yes
0.5,91,28,True,11.07349907406775,yes
0.5,92,31,True,11.259060266163779,yes
0.5,93,31,False,11.25906026640752,no
0.5,94,29,False,11.069361021988799,no
0.5,95,26,False,11.066278995427147,no
0.5,96,26,False,11.066279285742231,no
0.5,97,26,True,11.066141132840086,yes
0.5,98,26,False,11.0639451089877,no
0.5,99,26,True,11.063945110975718,yes
0.5,100,28,False,11.064401901607969,no
1.0,2,2,True,-3.5742211191188487,yes
1.0,3,3,True,1.486991774299382,yes
1.0,4,4,True,3.3243134864114885,yes
1.0,5,5,True,4.440875258663017,yes
1.0,6,6,True,7.187890037934587,yes
1.0,7,7,True,7.2135375634588526,yes
1.0,8,8,True,8.186192705223831,yes
1.0,9,9,True,8.56123361429335,yes
1.0,10,10,True,8.639722251533719,yes
1.0,11,11,True,9.500426204343905,yes
1.0,12,11,True,9.500368249920584,yes
1.0,13,12,True,9.414253535962006,yes
1.0,14,13,True,9.51678730781927,yes
1.0,15,13,True,9.416409976750106,yes
1.0,16,13,True,9.516677974273865,yes
1.0,17,14,True,9.519856502247594,yes
1.0,18,15,True,9.517107423395704,yes
1.0,19,15,True,9.517107422577837,yes
1.0,20,16,True,9.39667034106538,yes
1.0,21,17,True,10.613683825088907,yes
1.0,22,17,True,10.610162360361846,yes
1.0,23,18,False,11.159476595018479,no
1.0,24,19,False,11.13594706132339,no
1.0,25,18,True,11.132272159672185,yes
1.0,26,18,False,11.13227215774334,no
1.0,27,20,True,11.148973009230847,yes
1.0,28,21,True,11.003712077402861,yes
1.0,29,21,True,11.003661273728042,yes
1.0,30,22,True,11.003430987573736,yes
1.0,31,22,True,11.003975557849548,yes
1.0,32,21,True,11.029100115431056,yes
1.0,33,21,False,11.226692445385025,no
1.0,34,21,False,11.226640741782491,no
1.0,35,22,False,11.231918508878922,no
1.0,36,22,False,11.400022081315106,no
1.0,37,23,True,11.376453235288485,yes
1.0,38,23,False,11.380030645614065,no
1.0,39,24,False,11.34727942830646,no
1.0,40,25,True,11.227037661507458,yes
1.0,41,25,False,11.23349866080413,no
1.0,42,25,False,11.235213293207886,no
1.0,43,25,False,11.228580673923263,no
1.0,44,26,True,11.175428004708028,yes
1.0,45,26,False,10.987940745039426,no
1.0,46,25,False,11.020662758054472,no
1.0,47,25,False,11.020665468150757,no
1.0,48,26,False,11.016430480068781,no
1.0,49,26,True,11.016436438333733,yes
1.0,50,24,True,11.013102647871886,yes
1.0,51,25,False,11.018673402200259,no
1.0,52,24,False,11.013335728708848,no
1.0,53,26,False,11.007643497152495,no
1.0,54,28,False,11.20140887130842,no
1.0,55,24,False,11.287862468204619,no
1.0,56,24,False,11.28891353741051,no
1.0,57,25,False,11.265409150471632,no
1.0,58,24,True,11.28883950127341,yes
1.0,59,25,False,11.296092176332904,no
1.0,60,26,False,11.295301367129285,no
1.0,61,27,False,11.367219441407768,no
1.0,62,27,False,11.36716127060656,no
1.0,63,28,True,11.34367255609694,yes
1.0,64,26,False,11.342061763706655,no
1.0,65,26,False,11.268125857950896,no
1.0,66,25,False,11.295754403143734,no
1.0,67,28,False,11.270752270607868,no
1.0,68,27,False,11.294240738353496,no
1.0,69,27,False,11.373297959994574,no
1.0,70,26,False,11.372666876467818,no
1.0,71,26,False,11.293441558756655,no
1.0,72,26,False,11.293432561937639,no
1.0,73,26,False,11.29343256208155,no
1.0,74,26,True,11.293472889473636,yes
1.0,75,25,False,11.287602106395381,no
1.0,76,25,False,11.28760336547829,no
1.0,77,25,False,11.287603364587994,no
1.0,78,25,False,11.2876033642439,no
1.0,79,25,False,11.291812501427058,no
1.0,80,26,False,11.291939280572667,no
1.0,81,27,False,11.268451208939027,no
1.0,82,27,False,11.268902810033705,no
1.0,83,27,True,11.265504524211826,yes
1.0,84,27,False,11.260265262903529,no
1.0,85,29,True,11.190428556831405,yes
1.0,86,28,False,11.268965681957638,no
1.0,87,30,False,11.190460468140312,no
1.0,88,28,False,10.99557469294962,no
1.0,89,28,False,10.995574600032954,no
1.0,90,27,True,11.071522566225338,yes
1.0,91,28,False,11.073472225838247,no
1.0,92,31,False,11.259041276173312,no
1.0,93,31,False,11.259041276173939,no
1.0,94,29,False,11.069341932360683,no
1.0,95,26,False,11.066259927639317,no
1.0,96,26,False,11.066260219586347,no
1.0,97,26,False,11.066114499779108,no
1.0,98,26,False,11.063918216141218,no
1.0,99,26,False,11.063918217151857,no
1.0,100,28,False,11.064374994902245,no
5.0,2,2,True,-3.5744419184223797,yes
5.0,3,3,True,1.4867704425176496,yes
5.0,4,4,True,3.3240927734025703,yes
5.0,5,5,True,4.440654781638545,yes
5.0,6,6,True,7.1876693860242655,yes
5.0,7,7,True,7.213317032749878,yes
5.0,8,8,True,8.185972930004255,yes
5.0,9,9,True,8.561014696929501,yes
5.0,10,10,True,8.639502498036684,yes
5.0,11,11,True,9.500205797750654,yes
5.0,12,11,True,9.500148053693456,yes
5.0,13,12,True,9.414033207190236,yes
5.0,14,13,True,9.516567239516034,yes
5.0,15,13,True,9.416190488229878,yes
5.0,16,13,True,9.516458408818943,yes
5.0,17,14,True,9.519637643066135,yes
5.0,18,15,True,9.516888218816018,yes
5.0,19,15,True,9.517098343734466,yes
5.0,20,16,True,9.396450535432654,yes
5.0,21,17,True,10.610080985433731,yes
5.0,22,17,True,10.610404732590252,yes
